"","#wt","#mut","pvalue","p_adj"
"DUSP11",34,2,0.995561059337389,1
"CLMP",34,2,0.995569831218312,1
"CCNJ",35,1,0.995623821254418,1
"FAS",34,2,0.995630772645228,1
"NANOG",35,1,0.995650294569451,1
"CCNYL1",36,0,0.995683657890554,1
"KIF5B",36,0,0.995688327121935,1
"CDRT1",32,4,0.995709562824688,1
"DCAF10",36,0,0.995719381431832,1
"IFNA1",30,6,0.995734377489644,1
"IFNA13",30,6,0.995734377489644,1
"STK17B",33,3,0.995758050409485,1
"CD74",36,0,0.995760536894234,1
"LRRC55",32,4,0.995767039672122,1
"PTPN4",34,2,0.995781848492338,1
"MCF2",33,3,0.995814608329167,1
"IVNS1ABP",34,2,0.9958267069024,1
"CD3EAP",36,0,0.995841393064415,1
"ZXDC",35,1,0.995861844012967,1
"KDM1B",32,4,0.995884432054438,1
"ANKRD44",35,1,0.995915854285252,1
"KBTBD13",35,1,0.995949100572559,1
"KDM4D",33,3,0.995958319017315,1
"SEZ6L",32,4,0.995967840020223,1
"WDR35",35,1,0.995990139251924,1
"TFAP2C",32,4,0.996001216304596,1
"OR2T8",32,4,0.996078110388146,1
"SOX18",33,3,0.996113615499799,1
"MAP3K1",35,1,0.99612237745412,1
"ADAP2",36,0,0.996129341264062,1
"DUSP28",33,3,0.996129571651309,1
"ASXL2",35,1,0.996132317467677,1
"NIM1",32,4,0.996142134101433,1
"CYP11B1",34,2,0.996151623757071,1
"TICAM1",36,0,0.99615970910792,1
"TPP2",35,1,0.996166840583518,1
"HAPLN2",34,2,0.996182161276909,1
"PRKX",36,0,0.996182477148767,1
"PKIA",35,1,0.996226391925595,1
"CELF3",34,2,0.99624604518442,1
"ESRRB",35,1,0.99626941199345,1
"CRTC1",33,3,0.996296321937054,1
"TTC22",31,5,0.996300262301411,1
"HLF",35,1,0.996308124089521,1
"OR2T27",32,4,0.996326039913279,1
"ETNK2",35,1,0.996335796082871,1
"WDR17",33,3,0.996396924276463,1
"RBMS2",36,0,0.996410380747995,1
"EPHA2",34,2,0.996425319299193,1
"SS18L1",33,3,0.996438848955075,1
"HECW1",28,8,0.996462098338604,1
"NOMO2",33,3,0.996463816854485,1
"TNFRSF14",33,3,0.996467374693818,1
"DIDO1",30,6,0.996471689620951,1
"UNC119",36,0,0.996475871235151,1
"CSF1R",34,2,0.996491510133738,1
"ARHGAP11A",32,4,0.996512739674358,1
"MATN1",35,1,0.996525413991533,1
"OR2T33",33,3,0.996532658089615,1
"CPB2",33,3,0.996555207645731,1
"HEY1",35,1,0.996584705190102,1
"ACVRL1",34,2,0.996629024658836,1
"BRS3",36,0,0.996629129442682,1
"IGSF6",35,1,0.99663671942117,1
"WDR13",36,0,0.996645851847256,1
"FOXN3",32,4,0.996646923888707,1
"TTBK1",33,3,0.996658627353372,1
"NR2F6",34,2,0.996661124348553,1
"CHST2",34,2,0.996677094320531,1
"DUSP14",36,0,0.996687518890251,1
"DAZAP2",35,1,0.996711359342487,1
"NFRKB",34,2,0.996713430749981,1
"OR2T12",33,3,0.996725868294806,1
"PREX1",30,6,0.996743237348046,1
"MAP3K14",36,0,0.996746814340906,1
"BCL10",34,2,0.996753119181941,1
"KCNJ3",35,1,0.996760378547618,1
"PTGES",36,0,0.996775133719793,1
"PHF11",36,0,0.996781878576094,1
"OR6F1",33,3,0.996799814507051,1
"PPARG",36,0,0.99680264820813,1
"RASD1",35,1,0.996817713425438,1
"MAPK15",34,2,0.996819222074489,1
"ITGAX",32,4,0.996824216330535,1
"KIF13B",32,4,0.996833531871716,1
"MAFK",31,5,0.996837978660161,1
"TFRC",33,3,0.996849681947852,1
"GLI1",34,2,0.996851089994605,1
"PRLHR",36,0,0.996859319559044,1
"PBX3",33,3,0.99686320837439,1
"NR1I3",34,2,0.996880397383754,1
"CCNT1",34,2,0.996889113218609,1
"PPM1D",29,7,0.99689699625674,1
"RAB2A",36,0,0.996914872108426,1
"FH",34,2,0.996920133243239,1
"PKHD1L1",21,15,0.996954082405147,1
"NR2F2",34,2,0.996954201984051,1
"HCAR2",36,0,0.996955197952185,1
