"","#wt","#mut","pvalue","p_adj"
"CANT1",33,3,9.37665681048141e-08,6.3277933485991e-06
"SH2D1A",36,0,9.85755896750158e-08,6.58444704094544e-06
"ARHGAP26",35,1,1.09556277975541e-07,7.24399389523123e-06
"LDLR",31,5,1.13588521939534e-07,7.43550464616189e-06
"ITGA10",30,6,1.22962904152344e-07,7.96945713446776e-06
"SVEP1",27,9,1.25156144955297e-07,8.03207965566053e-06
"CTBP2",36,0,1.28639562783564e-07,8.1754813396234e-06
"TFEC",27,9,1.38259681780942e-07,8.7023834320966e-06
"HSPB1",33,3,1.4492582273836e-07,9.03508986328861e-06
"PGAM4",34,2,1.50480533917406e-07,9.29288278323905e-06
"GPR143",36,0,1.70674009189945e-07,1.04414211603493e-05
"MITF",28,8,1.76044925582003e-07,1.06702785449981e-05
"ETV5",34,2,1.92353425847049e-07,1.15517938127962e-05
"NAV2",33,3,1.96263934192823e-07,1.15642155303668e-05
"C1R",34,2,1.96566330201123e-07,1.15642155303668e-05
"KIAA1324",31,5,1.97860088512234e-07,1.15642155303668e-05
"SLC46A3",34,2,2.06658574674515e-07,1.19715666355697e-05
"UBE2T",34,2,2.10084841220443e-07,1.2063292724816e-05
"CAMK1",36,0,2.15042800906109e-07,1.22406102150556e-05
"PPP1R13B",32,4,2.24532489229897e-07,1.25980177558795e-05
"LAMP5",32,4,2.25966244938089e-07,1.25980177558795e-05
"WDFY3",30,6,2.2728417809606e-07,1.25980177558795e-05
"NYX",36,0,2.29019876710916e-07,1.25980177558795e-05
"ASCL4",35,1,2.36869698238946e-07,1.29212420389345e-05
"ATF6",33,3,2.44549801993257e-07,1.3227724529804e-05
"RHOBTB1",35,1,2.46633574873093e-07,1.3227724529804e-05
"ZFYVE1",36,0,2.48550277599434e-07,1.3227724529804e-05
"ORM1",34,2,2.54140391979041e-07,1.34161532733452e-05
"LILRB3",35,1,2.70771926491314e-07,1.41786315317024e-05
"SYNPO",35,1,2.72915913992438e-07,1.41786315317024e-05
"UBAC2",36,0,2.84088803597694e-07,1.46428764437048e-05
"FOXR1",32,4,2.87984960648354e-07,1.47277308781572e-05
"P2RY8",36,0,3.04919103249819e-07,1.54728717044443e-05
"BTN2A1",34,2,3.10605436915228e-07,1.56401783849776e-05
"OPN4",35,1,3.16298860415836e-07,1.58052850403211e-05
"RGR",36,0,3.23096965113487e-07,1.60226722244916e-05
"INTS12",35,1,3.30275185170585e-07,1.62554989633583e-05
"PRR5",33,3,3.38000551023675e-07,1.65115791567237e-05
"GRPR",35,1,3.45225356559848e-07,1.67395939558575e-05
"NAA40",35,1,3.54182621135644e-07,1.70476429261318e-05
"RBBP8",36,0,3.8988696189975e-07,1.86291974642027e-05
"CHD1",33,3,4.26629587368664e-07,2.02370817312701e-05
"RDH12",35,1,4.34639932826219e-07,2.04687266207225e-05
"C14orf169",36,0,4.60241960638054e-07,2.12301533447663e-05
"MYT1L",29,7,4.60714255477468e-07,2.12301533447663e-05
"AIP",34,2,4.63652149155832e-07,2.12301533447663e-05
"FRMD5",34,2,4.63781229499172e-07,2.12301533447663e-05
"HTR3B",32,4,4.86208676162877e-07,2.21022360705708e-05
"FOXP2",28,8,5.22275713846162e-07,2.35780470540481e-05
"ADAM12",36,0,5.55551855319872e-07,2.49085098967389e-05
"MEGF8",31,5,5.59396202307956e-07,2.49102553762441e-05
"PPP2R4",36,0,5.77046775064475e-07,2.55226229025139e-05
"RASL11A",33,3,6.29722511518555e-07,2.75031944228762e-05
"TNS1",34,2,6.30229019772598e-07,2.75031944228762e-05
"TTC28",33,3,6.76751216380194e-07,2.93378374995017e-05
"RAB3D",34,2,6.87748258628788e-07,2.96184217170003e-05
"STAT6",35,1,7.06177712173785e-07,3.02133287835921e-05
"OPHN1",35,1,7.50530868518279e-07,3.17031193062963e-05
"COL8A2",34,2,7.5068492094041e-07,3.17031193062963e-05
"PTAR1",36,0,7.56912146774134e-07,3.17611981588685e-05
"ITGA6",35,1,7.88931122620129e-07,3.28939052781616e-05
"TWF1",35,1,8.08975792020686e-07,3.3516174269414e-05
"IGSF3",31,5,8.42014457666179e-07,3.45790873985166e-05
"RASA1",35,1,8.45196147840309e-07,3.45790873985166e-05
"MBD1",35,1,9.39505070751645e-07,3.80806427766458e-05
"SLC12A7",31,5,9.44179194990284e-07,3.80806427766458e-05
"PWWP2B",31,5,9.50652563631834e-07,3.80806427766458e-05
"BCHE",33,3,9.54052156335153e-07,3.80806427766458e-05
"DIRAS2",36,0,9.76815373196749e-07,3.84433967228776e-05
"C20orf152",35,1,9.77764117658045e-07,3.84433967228776e-05
"BACH2",33,3,9.80758822597092e-07,3.84433967228776e-05
"SERPINC1",34,2,9.9131045741837e-07,3.84636215692854e-05
"CNGA3",34,2,9.93026588024631e-07,3.84636215692854e-05
"EYA4",36,0,1.03241232152895e-06,3.97539473925206e-05
"PHLPP2",35,1,1.04644898723753e-06,4.00588015816191e-05
"ZBTB39",36,0,1.06390057481066e-06,4.04900765273871e-05
"RNFT1",33,3,1.09496178812983e-06,4.14313286999877e-05
"CR1L",34,2,1.10854763925285e-06,4.1508857807854e-05
"HFM1",32,4,1.10969296003276e-06,4.1508857807854e-05
"NAT8B",36,0,1.13659334717316e-06,4.22735230147472e-05
"FZD7",34,2,1.22153315944299e-06,4.51760229475357e-05
"GLRA3",32,4,1.27108934359543e-06,4.67446676582904e-05
"AGTR1",34,2,1.28223446192899e-06,4.67774224253219e-05
"BTAF1",35,1,1.28627192736907e-06,4.67774224253219e-05
"RUFY3",33,3,1.31099473555083e-06,4.74131024249488e-05
"ANKRD36B",32,4,1.34024838575477e-06,4.82047578744545e-05
"FOXO4",36,0,1.36924674801299e-06,4.89786295764647e-05
"RAB39A",32,4,1.41224176333001e-06,5.024203577586e-05
"LGALS1",35,1,1.43388621720538e-06,5.06356385245882e-05
"RDH10",36,0,1.44587467371231e-06,5.06356385245882e-05
"INO80D",33,3,1.4465115191106e-06,5.06356385245882e-05
"FXR2",35,1,1.48835572282622e-06,5.15128720727813e-05
"TOP2B",35,1,1.49319437739399e-06,5.15128720727813e-05
"PIKFYVE",35,1,1.49517960492338e-06,5.15128720727813e-05
"CSRNP3",34,2,1.57822134845407e-06,5.40891986752897e-05
"IL6R",32,4,1.61779543251354e-06,5.51567130272585e-05
"SUV39H2",36,0,1.63315924007392e-06,5.53920227229217e-05
"ARHGAP6",34,2,1.80080958906549e-06,6.03877904816842e-05
"ZNF165",35,1,1.80770918675117e-06,6.03877904816842e-05
"MSH6",35,1,1.80812815985489e-06,6.03877904816842e-05
"C4BPA",35,1,1.84798924737379e-06,6.14057746868469e-05
