"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"METTL13","METTL13",3,0.414547112914052,380,"0.981715330609276",1
"GATA4","GATA4",2,0.41485846226415,381,"0.683187781884276",1
"MED20","MED20",2,0.415144325091039,381,"0.384980559901052",1
"MEGF8","MEGF8",16,0.41544686751443,367,"0.172846633497958",1
"CBL","CBL",5,0.415505485623457,378,"0.0524732582847393",1
"RBP7","RBP7",1,0.415673050905573,382,"0.990850305609208",1
"PRKCH","PRKCH",3,0.415761273461078,380,"0.68209086044471",1
"IRF5","IRF5",2,0.41578787642602,381,"0.488142430485112",1
"KCNJ12","KCNJ12",4,0.416136748278762,379,"0.977487907655729",1
"PPIL2","PPIL2",2,0.416217187552787,381,"0.618912588534338",1
"EVI2A","EVI2A",1,0.416222156620607,382,"0.218644680553364",1
"E2F7","E2F7",5,0.4166098667952,378,"0.839066352069028",1
"MAMDC4","MAMDC4",4,0.41669910004464,379,"0.769777692283044",1
"CYP4X1","CYP4X1",1,0.416928149682793,382,"0.410859434048495",1
"ALDH8A1","ALDH8A1",3,0.41726536826018,380,"0.685339430285667",1
"COL15A1","COL15A1",5,0.417392507112437,378,"0.345345211563672",1
"KRT85","KRT85",3,0.417728353096438,380,"0.61986634203272",1
"CYP2E1","CYP2E1",4,0.417977802008491,379,"0.33107116112036",1
"PARP9","PARP9",3,0.418017762764069,380,"0.786666078851171",1
"ARHGAP24","ARHGAP24",8,0.418282786558317,375,"0.432017952573837",1
"ASGR2","ASGR2",1,0.418653910501469,382,"0.26070201111588",1
"KCNT1","KCNT1",2,0.418654134923216,381,"0.144496371450021",1
"ARHGEF26","ARHGEF26",7,0.418885919496114,376,"0.93352208474228",1
"CCNY","CCNY",1,0.418889241522198,382,"0.270502447195514",1
"SHD","SHD",2,0.419300399911973,381,"0.819642597980799",1
"NRP2","NRP2",12,0.41963879552384,371,"0.286047559064566",1
"PSMA8","PSMA8",4,0.419718221988645,379,"0.250691122139279",1
"SUV420H2","SUV420H2",3,0.419928708947496,380,"0.784219696171765",1
"MCOLN2","MCOLN2",1,0.420222783972993,382,"0.990296095234909",1
"IRX1","IRX1",3,0.420855748150952,380,"0.692330808498927",1
"ACSL6","ACSL6",4,0.421357697591374,379,"0.286513917322061",1
"STK33","STK33",9,0.42155052493538,374,"0.817253218415586",1
"FTO","FTO",1,0.421870101118094,382,"0.463452165724942",1
"CREB3L4","CREB3L4",2,0.422034569304011,381,"0.288203841863907",1
"DNAH5","DNAH5",23,0.422131382825458,360,"0.593165618982286",1
"CACNA1F","CACNA1F",25,0.422314232533261,358,"0.633744073810145",1
"DACH1","DACH1",16,0.422416440333168,367,"0.865125546680557",1
"NAV2","NAV2",7,0.422425182623635,376,"0.677649650527014",1
"TNKS","TNKS",8,0.42285620639482,375,"0.511258261390109",1
"CACNA1D","CACNA1D",7,0.423055021093429,376,"0.147303215138576",1
"MYLK","MYLK",8,0.423225475635529,375,"0.605822792384812",1
"NTN5","NTN5",2,0.423765991267544,381,"0.306444680777912",1
"BTD","BTD",2,0.42391043641983,381,"0.997276030347338",1
"MAPK3","MAPK3",2,0.42391043641983,381,"0.96282379987581",1
"OGT","OGT",2,0.424127150298833,381,"0.796829572913096",1
"ADCK4","ADCK4",2,0.424199400565321,381,"0.725735605210106",1
"CHRD","CHRD",2,0.424199400565321,381,"0.726453377780277",1
"SEC31A","SEC31A",5,0.424218612950802,378,"0.254277283878432",1
"PDGFA","PDGFA",3,0.424237169107385,380,"0.302962719842823",1
"OR10J1","OR10J1",4,0.424435368541864,379,"0.531881143770055",1
"ANKRD36","ANKRD36",17,0.424449721651755,366,"0.167974203994544",1
"TPH1","TPH1",3,0.424567206760426,380,"0.750638906463716",1
"GSX2","GSX2",1,0.425400066429023,382,"0.568309837397811",1
"ATAD2","ATAD2",10,0.425437496885943,373,"0.537806384556283",1
"BTRC","BTRC",5,0.425512475628224,378,"0.621375263049957",1
"CXCR6","CXCR6",2,0.42557332477647,381,"0.0805807402201406",1
"MSGN1","MSGN1",1,0.425870728470481,382,"0.529375197987151",1
"ANGPTL5","ANGPTL5",2,0.425935252984,381,"0.939736324074921",1
"DENND3","DENND3",3,0.42636679110479,380,"0.923068378579643",1
"PGAM2","PGAM2",1,0.427047383574124,382,"0.557569330247102",1
"TTC28","TTC28",2,0.427166959577256,381,"0.516928458816436",1
"FH","FH",4,0.427569070041718,379,"0.342823630577685",1
"LASP1","LASP1",2,0.427747201550369,381,"0.63905493890473",1
"ARHGAP27","ARHGAP27",7,0.4279819952157,376,"0.446277144595632",1
"SPG7","SPG7",5,0.428426369647379,378,"0.841697769021987",1
"P4HA1","P4HA1",3,0.428690554474609,380,"0.900680286242779",1
"SEC31B","SEC31B",5,0.428796650286613,378,"0.741630541777918",1
"VIT","VIT",5,0.429028105229365,378,"0.808261538229996",1
"SERPING1","SERPING1",2,0.429054185887795,381,"0.957460692784105",1
"PDK2","PDK2",1,0.429086919087105,382,"0.577791949679796",1
"MKL1","MKL1",4,0.429369181294713,379,"0.273947316906196",1
"DSTYK","DSTYK",5,0.429398480194812,378,"0.493895506248246",1
"PAK6","PAK6",3,0.429446185309936,380,"0.213719308253257",1
"TREML2","TREML2",3,0.429620589629753,380,"0.0664261928412231",1
"SEMA4A","SEMA4A",2,0.429708425695814,381,"0.588214379990483",1
"ZBTB7B","ZBTB7B",1,0.429949799496444,382,"0.454110826836022",1
"ECE2","ECE2",4,0.430347005572586,379,"0.417167058718338",1
"CBFA2T2","CBFA2T2",2,0.430363163930037,381,"0.114822379354219",1
"LMBR1L","LMBR1L",3,0.430550921600509,380,"0.333246079653418",1
"TADA2B","TADA2B",1,0.43104801092651,382,"0.346607800638363",1
"IMPACT","IMPACT",1,0.431283341947239,382,"0.579123988238566",1
"ZCWPW1","ZCWPW1",3,0.431307032150784,380,"0.825326251685119",1
"HTATSF1","HTATSF1",2,0.431309776872645,381,"0.0807278350028869",1
"UBE2J1","UBE2J1",1,0.43230310970373,382,"0.153498247095199",1
"RRP36","RRP36",2,0.432403314791738,381,"0.460418914916633",1
"WAS","WAS",2,0.432403314791738,381,"0.703266229627399",1
"EDNRB","EDNRB",7,0.432919735648753,376,"0.94635316313607",1
"MAP3K11","MAP3K11",3,0.433285450672315,380,"0.101484775920184",1
"TBC1D22A","TBC1D22A",4,0.433540761410956,379,"0.313211542284497",1
"MTAP","MTAP",3,0.433634716267777,380,"0.195091559127764",1
"TAF5","TAF5",2,0.433790450373994,381,"0.267006974250334",1
"PHF11","PHF11",5,0.433893776108936,378,"0.83158638385164",1
"ATP5A1","ATP5A1",1,0.434107314195983,382,"0.443279805705157",1
"KCTD4","KCTD4",1,0.434107314195983,382,"0.440084082780471",1
"NR1D2","NR1D2",3,0.434216912916487,380,"0.565690782858417",1
"KIF2C","KIF2C",2,0.434228954695188,381,"0.446260868545917",1
"SORBS1","SORBS1",2,0.434228954695188,381,"0.338659489588155",1
"IDH3A","IDH3A",1,0.434421088890288,382,"0.120238431068845",1
"NDST1","NDST1",4,0.434623520838618,379,"0.142102557665418",1
"NTSR2","NTSR2",1,0.434734863584592,382,"0.177915302936683",1
"CDK4","CDK4",2,0.434813971714402,381,"0.0829118020913664",1
"IQGAP2","IQGAP2",8,0.434963355040609,375,"0.248172661379652",1
"CHUK","CHUK",11,0.435447120047774,372,"0.74196790338397",1
"ATP2C1","ATP2C1",3,0.435672876313342,380,"0.761718273380846",1
"NLGN2","NLGN2",3,0.435847636697784,380,"0.629760211719066",1
"HAPLN3","HAPLN3",1,0.436068406035388,382,"0.273671026526944",1
"RCBTB2","RCBTB2",4,0.436171177172016,379,"0.100205874309712",1
"ELF2","ELF2",2,0.436278237217216,381,"0.785880781040906",1
"TSPAN11","TSPAN11",2,0.436351515103161,381,"0.842853571741712",1
"TNFRSF1A","TNFRSF1A",3,0.437129501607196,380,"0.0831907133942991",1
"AKR1E2","AKR1E2",2,0.437231329700474,381,"0.864565390351945",1
"IKBKB","IKBKB",1,0.437558835833336,382,"0.45729383590317",1
"LMNA","LMNA",2,0.437598180635943,381,"0.395683645562149",1
"NUP37","NUP37",2,0.437671569283266,381,"0.527449583762375",1
"PAPL","PAPL",4,0.437874739850167,379,"0.906123043255455",1
"LGSN","LGSN",5,0.437885955825293,378,"0.985888751439295",1
"INPP5F","INPP5F",5,0.437978868509183,378,"0.957583885274923",1
"SLC6A15","SLC6A15",7,0.437986380926596,376,"0.675399898435564",1
"NPHS1","NPHS1",8,0.438083410134432,375,"0.682173912250503",1
"ARHGAP22","ARHGAP22",5,0.438722283713356,378,"0.483226434017652",1
"WDR35","WDR35",3,0.438819996267206,380,"0.638057817832884",1
"DDX25","DDX25",2,0.439287676337095,381,"0.540825017614765",1
"KCTD21","KCTD21",1,0.439441483999165,382,"0.0851711955118515",1
"CPD","CPD",7,0.439809627889096,376,"0.843880209864672",1
"RIPK3","RIPK3",1,0.439833702367046,382,"0.968017122351505",1
"APEX1","APEX1",2,0.439949669441619,381,"0.475763638498168",1
"ANGEL1","ANGEL1",2,0.44002325499806,381,"0.961645461271855",1
"CCDC79","CCDC79",1,0.440069033387775,382,"0.600561886011311",1
"OLIG1","OLIG1",1,0.440069033387775,382,"0.483761324496644",1
"TFAP2A","TFAP2A",2,0.440317658757923,381,"0.404161980701125",1
"SMARCC1","SMARCC1",13,0.440366776147344,370,"0.623574269779464",1
"OR5AU1","OR5AU1",1,0.44038280808208,382,"0.722728478553899",1
"MARK3","MARK3",8,0.440537494925598,375,"0.451267931549683",1
"LRRN1","LRRN1",2,0.440906761641327,381,"0.17614162303662",1
"UBE2Q1","UBE2Q1",3,0.441153097682299,380,"0.547111816620365",1
"PHIP","PHIP",6,0.44118424870425,377,"0.59848375216567",1
"GLS2","GLS2",2,0.441201460764867,381,"0.405564431967003",1
"CCDC6","CCDC6",2,0.441422549718326,381,"0.46937420188836",1
"ZMYM2","ZMYM2",10,0.441657284099096,373,"0.0666556006464526",1
"MARK4","MARK4",1,0.441873237880028,382,"0.22486463050273",1
"RCOR1","RCOR1",4,0.442061094595522,379,"0.423231892102334",1
"LRIG2","LRIG2",5,0.442116623317109,378,"0.31906477159019",1
"GSK3A","GSK3A",3,0.442145138505361,380,"0.0923648303208671",1
"RDH16","RDH16",1,0.442500787268637,382,"0.17376492576867",1
"JAK1","JAK1",13,0.442630968527613,370,"0.912286734830752",1
"MSL3","MSL3",2,0.44304556089809,381,"0.670779408157703",1
"SEMA6A","SEMA6A",2,0.44304556089809,381,"0.639351603214241",1
"CDC45","CDC45",3,0.443079075366286,380,"0.147885539805547",1
"ABCA13","ABCA13",34,0.443559286445234,349,"0.413570764286582",1
"COL6A6","COL6A6",7,0.443737670113497,376,"0.201335250621901",1
"ECHDC1","ECHDC1",6,0.444131723316567,377,"0.0957749036557771",1
"PRSS12","PRSS12",1,0.44430499176089,382,"0.976332761035628",1
"RPS6KA5","RPS6KA5",2,0.444449649124687,381,"0.488587898990359",1
"TXNDC11","TXNDC11",7,0.444690734158438,376,"0.904514104321321",1
"PCTP","PCTP",1,0.444775653802347,382,"0.0992265277057386",1
"UBE2U","UBE2U",1,0.445010984823076,382,"0.350220133336971",1
"GJC3","GJC3",2,0.445633762165022,381,"0.609513034048667",1
"SARDH","SARDH",7,0.445922227360264,376,"0.49645541949897",1
"GTF2H3","GTF2H3",1,0.446030752579567,382,"0.0543332753493646",1
"SUSD1","SUSD1",3,0.446232859013862,380,"0.364222042023202",1
"SIPA1L1","SIPA1L1",12,0.446298755986821,371,"0.897751903063835",1
"PIAS4","PIAS4",1,0.446344527273872,382,"0.0950584470691369",1
"DNAJC1","DNAJC1",6,0.446354969861652,377,"0.788337110682195",1
"PATZ1","PATZ1",2,0.446597013928064,381,"0.963875569316791",1
"SRR","SRR",2,0.446819450478297,381,"0.192824875428212",1
"EME1","EME1",4,0.44687573987482,379,"0.186538051069079",1
"CES3","CES3",2,0.446893608301861,381,"0.9501635482337",1
"STAT6","STAT6",7,0.446915731254541,376,"0.728433792799563",1
"OS9","OS9",1,0.446972076662481,382,"0.136965339237312",1
