"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"MPP5","MPP5",3,0.0190986739166586,380,"0.133826438998617",1
"CD83","CD83",1,0.0194745909362829,382,"0.363865958044661",1
"KCNA2","KCNA2",1,0.0194745909362829,382,"0.200280061804537",1
"SOCS1","SOCS1",1,0.0194745909362829,382,"0.923536828479457",1
"RBM23","RBM23",17,0.0194955050075283,366,"0.156286394176652",1
"CALD1","CALD1",3,0.0197823334665018,380,"0.547656403907959",1
"LARP4B","LARP4B",12,0.0198191709005742,371,"0.841261395519637",1
"LEO1","LEO1",5,0.0202033488135561,378,"0.0642265993040516",1
"LGALS9","LGALS9",6,0.0202090033858143,377,"0.699598742536274",1
"PRKAB1","PRKAB1",2,0.0202635859979658,381,"0.462152727001017",1
"ABCD4","ABCD4",5,0.0205014404860989,378,"0.599488194241308",1
"KCNK12","KCNK12",1,0.0206201537360216,382,"0.924966202595045",1
"TTC30B","TTC30B",3,0.0206524842326439,380,"0.599713654399127",1
"WDR87","WDR87",16,0.0207407851222308,367,"0.602845832399913",1
"NEURL2","NEURL2",1,0.0208492662959693,382,"0.793519386194682",1
"ABCC12","ABCC12",3,0.0209193745569413,380,"0.254351028547532",1
"IGF1R","IGF1R",1,0.0209256371492852,382,"0.780276571836881",1
"GTF2IRD2","GTF2IRD2",2,0.0214488917194832,381,"0.905674327928996",1
"PLXNA2","PLXNA2",7,0.0214800127987113,376,"0.322674290194026",1
"CCNE2","CCNE2",2,0.0215439032837513,381,"0.426669990998955",1
"ATG9A","ATG9A",3,0.0218420150567415,380,"0.238503767404792",1
"RAPGEF1","RAPGEF1",3,0.0220892434665637,380,"0.568346456683294",1
"ASPHD2","ASPHD2",1,0.0225294250689193,382,"0.139750932717662",1
"COG2","COG2",7,0.0225929062576805,376,"0.253297254868491",1
"HMGB2","HMGB2",1,0.0226057959222352,382,"0.89160798953779",1
"GLIS3","GLIS3",3,0.0229743192878251,380,"0.818095272177062",1
