"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"ALAS1","ALAS1",10,0.658025152793513,373,"0.720060984667069",1
"DUSP5","DUSP5",5,0.658431066998403,378,"0.914297084084275",1
"HCLS1","HCLS1",6,0.65872498098362,377,"0.595044310607424",1
"ANKIB1","ANKIB1",18,0.658831961318109,365,"0.318889127044435",1
"CDKL4","CDKL4",10,0.659052720634865,373,"0.130099781424068",1
"CYP2J2","CYP2J2",6,0.659163088382445,377,"0.857790839291288",1
"LCP2","LCP2",16,0.659184964042941,367,"0.146680728101774",1
"ASF1B","ASF1B",2,0.659240805791044,381,"0.313026527165862",1
"HTR4","HTR4",8,0.659329232135412,375,"0.315992004247518",1
"PPP5C","PPP5C",10,0.659363879400928,373,"0.616952440566038",1
"NPAS4","NPAS4",13,0.659386560701103,370,"0.935205784906408",1
"CNTRL","CNTRL",24,0.659653440084777,359,"0.795455888480446",1
"ACAP2","ACAP2",11,0.659662738095102,372,"0.260857309707682",1
"MEF2D","MEF2D",13,0.660289205111507,370,"0.296480820870342",1
"DCAF4L2","DCAF4L2",24,0.660466347753805,359,"0.376946465327575",1
"PSKH1","PSKH1",5,0.660515894036624,378,"0.912837194082848",1
"DLX4","DLX4",4,0.660553387391819,379,"0.283429847976752",1
"TSSK2","TSSK2",8,0.661199569191795,375,"0.546580285804255",1
"FBLN1","FBLN1",20,0.66128806150809,363,"0.14148415659455",1
"CEACAM18","CEACAM18",22,0.661559413753257,361,"0.185305887796691",1
"CLTA","CLTA",4,0.661946607048269,379,"0.43640842870847",1
"OR10G2","OR10G2",6,0.662105025964225,377,"0.916834093693225",1
"NRP1","NRP1",12,0.662292621410971,371,"0.715420525825062",1
"TFPT","TFPT",6,0.662343151950831,377,"0.462095755410096",1
"BCL6B","BCL6B",8,0.662444341651754,375,"0.247961910576816",1
"VSTM4","VSTM4",14,0.662484435692539,369,"0.320633291296729",1
"TRIO","TRIO",55,0.66254883485893,328,"0.811851186062472",1
"PRKAB2","PRKAB2",3,0.662630008788677,380,"0.194895736296086",1
