"","#wt","#mut","pvalue","p_adj"
"SEMA3E",10,1,0.170586318728335,0.557515234788796
"LRRC30",11,0,0.170593189013437,0.557515234788796
"FMR1",11,0,0.170714427161724,0.557633053992338
"ACACB",8,3,0.170923273731947,0.558036782967244
"HPCA",11,0,0.171301167184477,0.558991744959913
"AAAS",11,0,0.171483513479504,0.559029421930694
"DTL",11,0,0.171483513479504,0.559029421930694
"CNGA1",10,1,0.171839019399525,0.559909517665152
"POLR3B",10,1,0.17220102124906,0.560691762993536
"CHAF1B",6,5,0.172314174579976,0.560691762993536
"PLAC9",11,0,0.172336056697677,0.560691762993536
"EIF5AL1",10,1,0.172776934244012,0.561846900924641
"XRRA1",11,0,0.174049013961957,0.565702505161356
"EIF4B",11,0,0.174212699747545,0.565953514911876
"TACR2",11,0,0.17439695991308,0.56627108114634
"SEPT9",9,2,0.175249998468662,0.568504307297165
"HERC5",11,0,0.175258431427693,0.568504307297165
"ITK",11,0,0.175751876778574,0.569822578203341
"KCNH1",11,0,0.175957731317901,0.569992140036449
"TBC1D17",11,0,0.175978324933343,0.569992140036449
"S1PR5",9,2,0.176296071561574,0.570738914165214
"ARNT2",11,0,0.176555548512372,0.571296401661882
"BLNK",11,0,0.176700036115566,0.571481440915264
"GRID2",11,0,0.177382170607911,0.573404290765129
"PIM3",11,0,0.177527073343028,0.573589448224808
"HAS2",10,1,0.177774457522353,0.573826126792784
"ATP1A4",11,0,0.177775646980716,0.573826126792784
"NME6",11,0,0.178107410403413,0.5745313216826
"SFT2D2",11,0,0.178169658266984,0.5745313216826
"ANK3",8,3,0.178270825996936,0.5745745086046
"GP2",11,0,0.178584984687036,0.575303794173887
"WDR72",11,0,0.178896868218381,0.576025036575269
"CSMD3",10,1,0.178993869054297,0.576054015157044
"SLIT3",11,0,0.179125794510111,0.576195307549477
"PTK2B",11,0,0.179417414260992,0.576335762237146
"CLCNKB",10,1,0.179430606792959,0.576335762237146
"MATK",10,1,0.179452460715209,0.576335762237146
"CAPN10",11,0,0.17952163446403,0.576335762237146
"MLLT1",11,0,0.17962589165764,0.576387787642604
"PARP10",7,4,0.179718220542496,0.576401504983429
"STK25",11,0,0.179959763215535,0.576849574099727
"XPA",11,0,0.18012684099183,0.576849574099727
"TFDP2",11,0,0.180168625224987,0.576849574099727
"KIF1B",11,0,0.180210415373349,0.576849574099727
"NRP1",11,0,0.180335821307517,0.576968859373903
"HIVEP3",10,1,0.180766663534652,0.57715097137304
"BCAN",11,0,0.180775161217919,0.57715097137304
"TCF23",11,0,0.180858918918887,0.57715097137304
"ALDH1A3",8,3,0.18086002543977,0.57715097137304
"ETV4",11,0,0.180879862038962,0.57715097137304
"RCC1",11,0,0.180921752712722,0.57715097137304
"ABCA10",9,2,0.181351630516489,0.578111679174582
"NUP54",11,0,0.181424901815599,0.578111679174582
"TUB",11,0,0.181487855286246,0.578111679174582
"TFG",11,0,0.181802822029266,0.578791771146521
"SF3B4",11,0,0.181991961559479,0.578791771146521
"TACR1",11,0,0.182034008807272,0.578791771146521
"STAT2",11,0,0.18205503464569,0.578791771146521
"BNIP3L",11,0,0.182475861400964,0.579848052781898
"TNFSF4",11,0,0.183066010499365,0.581348065630207
"ZNF703",8,3,0.183125528770163,0.581348065630207
"HOXC10",11,0,0.183277058302012,0.581547078839055
