"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"SMURF1",14,1,0.309690481151033,0.976230385149293,1.28710634522133e-17,"up"
"PPFIA4",13,2,0.309802732673448,0.976230385149293,2.77193603459658e-58,"up"
"GPNMB",13,2,0.3102506621221,0.976230385149293,4.79458119711055e-23,"up"
"SHOX2",14,1,0.31115327390493,0.976230385149293,8.25635491405638e-07,"up"
"HOXC5",14,1,0.311178760163081,0.976230385149293,0.0013437643668495,"up"
"KCNJ16",14,1,0.311372247179831,0.976230385149293,1.67614335777352e-54,"down"
"HNF4A",14,1,0.312573641330411,0.976230385149293,7.08274157324478e-06,"down"
"ORC2",14,1,0.313019685654822,0.976230385149293,6.66436942245858e-19,"up"
"PGAM2",13,2,0.313321868342096,0.976230385149293,NA,NA
"SCCPDH",13,2,0.313869490347843,0.976230385149293,1.18163781878723e-09,"down"
"NAMPT",14,1,0.314083087538487,0.976230385149293,8.09105285141806e-06,"up"
"PILRA",14,1,0.315927442633114,0.976230385149293,1.91685149385542e-88,"up"
"SNX31",13,2,0.316977356019073,0.976230385149293,0.52142181750467,"up"
"GABRA1",12,3,0.318036640357658,0.976230385149293,0.0858225689793759,"up"
"TMEM52",14,1,0.318232618117598,0.976230385149293,3.2439724395704e-11,"down"
"PRRX1",12,3,0.318355654154984,0.976230385149293,0.0167924989403017,"up"
"PROX1",13,2,0.320742690902554,0.976230385149293,1.27314179697587e-14,"down"
"MAPKAPK2",13,2,0.321006042162934,0.976230385149293,0.327700892437074,"down"
"SLC12A7",14,1,0.321762593183697,0.976230385149293,1.58846999388865e-24,"up"
"ZFHX4",13,2,0.32229070993588,0.976230385149293,0.035710889944688,"up"
"TDRKH",13,2,0.322352634654131,0.976230385149293,1.30681967809187e-08,"down"
"COMT",14,1,0.322438947900163,0.976230385149293,1.84285426215891e-06,"down"
"GSTT2",14,1,0.322594669718839,0.976230385149293,0.121889544080956,"down"
"GSTT2B",14,1,0.322594669718839,0.976230385149293,0.000158372445200424,"down"
"LIN7A",14,1,0.322855338410675,0.976230385149293,1.5953330743165e-09,"up"
"EIF4EBP3",13,2,0.323104255406153,0.976230385149293,1.23861088000611e-69,"up"
"ANKHD1-EIF4EBP3",13,2,0.323104255406153,0.976230385149293,3.37428815847265e-42,"up"
"NMNAT2",13,2,0.32407079142829,0.976230385149293,1.52511567759874e-05,"up"
"NAPRT1",14,1,0.324373753253592,0.976230385149293,NA,NA
"KCNH1",13,2,0.326811810246736,0.976230385149293,5.45460773565499e-12,"down"
"HIPK2",12,3,0.327082006652401,0.976230385149293,0.228005097558607,"down"
"WNT9A",13,2,0.327646696670668,0.976230385149293,1.8393549634203e-08,"up"
"MBD6",14,1,0.328769852629795,0.976230385149293,5.72809266153342e-17,"up"
"SLC16A3",14,1,0.329340126178113,0.976230385149293,9.49306865560056e-139,"up"
"KCNH2",13,2,0.329839615649221,0.976230385149293,5.17203459105154e-22,"up"
