CELLLINE,PRIMARY_SITE,PATHOLOGIST_ANNOTATION,in CCLE,Source,RRID
hle,liver,Liver:HCC,Y,,
hlf,liver,Liver:HCC,Y,,
hmc18,breast,Breast:Carcinoma,Y,,
hrt18,large_intestine,Colorectal:Carcinoma,Y,,
hs294t,skin,Skin:Melanoma,Y,,
hs578t,breast,Breast:Carcinoma,Y,,
hs695t,skin,Skin:Melanoma,Y,,
hs729,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,Y,,
hs852t,skin,Skin:Melanoma,Y,,
hs939t,skin,Skin:Melanoma,Y,,
hs944t,skin,Skin:Melanoma,Y,,
hsc3,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
hssyii,soft_tissue,Soft_Tissue:Sarcoma_Synovial,N,RIKEN BRC,CVCL_8719
ht1080,soft_tissue,Soft_Tissue:Sarcoma_Fibro,Y,,
ht115,large_intestine,Colorectal:Carcinoma,Y,,
ht1197,urinary_tract,Bladder:Carcinoma,Y,,
ht1376,urinary_tract,Bladder:Carcinoma,Y,,
ht29,large_intestine,Colorectal:Carcinoma,Y,,
ht55,large_intestine,Colorectal:Carcinoma,Y,,
hug1n,stomach,Gastric:Carcinoma,Y,,
huh1,liver,Liver:HCC,Y,,
huh6,liver,Liver:Hepatoblastoma,Y,,
huh7,liver,Liver:HCC,Y,,
hupt3,pancreas,Pancreas:Carcinoma,Y,,
hupt4,pancreas,Pancreas:Carcinoma,Y,,
igr1,skin,Skin:Melanoma,Y,,
igr37,skin,Skin:Melanoma,Y,,
igr39,skin,Skin:Melanoma,Y,,
igrov1,ovary,Ovary:Carcinoma,Y,,
im95,stomach,Gastric:Carcinoma,Y,,
ipc298,skin,Skin:Melanoma,Y,,
ishikawaheraklio02er,endometrium,Endometrium:Carcinoma,Y,,
jhh6,liver,Liver:HCC,Y,,
jhh7,liver,Liver:HCC,Y,,
jhos2,ovary,Ovary:Carcinoma,Y,,
jhuem2,endometrium,Endometrium:Carcinoma,Y,,
jimt1,breast,Breast:Carcinoma,Y,,
jl1,pleura,Lung:Mesothelioma,Y,,
jmsu1,urinary_tract,Bladder:Carcinoma,Y,,
k029ax,skin,Skin:Melanoma,Y,,
kasumi1,haematopoietic_and_lymphoid_tissue,Leukemia:AML,Y,,
kasumi2,haematopoietic_and_lymphoid_tissue,Leukemia:ALL,Y,,
kelly,autonomic_ganglia,PNET:Neuroblastoma,Y,,
km12,large_intestine,Colorectal:Carcinoma,Y,,
kmrc1,kidney,Kidney:Carcinoma,Y,,
kmrc20,kidney,Kidney:Carcinoma,Y,,
kms27,haematopoietic_and_lymphoid_tissue,Lymphoma:Multiple_Myeloma,Y,,
kms28bm,haematopoietic_and_lymphoid_tissue,Lymphoma:Multiple_Myeloma,Y,,
kms34,haematopoietic_and_lymphoid_tissue,Lymphoma:Multiple_Myeloma,Y,,
kns42,central_nervous_system,CNS:Glioma,Y,,
kns62,lung,Lung:NSCLC_Squamous,Y,,
kns81,central_nervous_system,CNS:Glioma_HighGrade,Y,,
kp1n,pancreas,Pancreas:Carcinoma,Y,,
kp3,pancreas,Pancreas:Carcinoma,Y,,
kp4,pancreas,Pancreas:Carcinoma,Y,,
kpl1,breast,Breast:Carcinoma,Y,,
kpnsi9s,autonomic_ganglia,PNET:Neuroblastoma,Y,,
kpnyn,autonomic_ganglia,PNET:Neuroblastoma,Y,,
ks1,central_nervous_system,CNS:Glioma_HighGrade,Y,,
ku1919,urinary_tract,Bladder:Carcinoma,Y,,
kym1,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,Y,,
kyse150,oesophagus,Oesophagus:Carcinoma,Y,,
kyse180,oesophagus,Oesophagus:Carcinoma,Y,,
kyse30,oesophagus,Oesophagus:Carcinoma,Y,,
kyse410,oesophagus,Oesophagus:Carcinoma,Y,,
kyse450,oesophagus,Oesophagus:Carcinoma,Y,,
kyse510,oesophagus,Oesophagus:Carcinoma,Y,,
kyse70,oesophagus,Oesophagus:Carcinoma,Y,,
l33,pancreas,Pancreas:Carcinoma,Y,,
lclc103h,lung,Lung:NSCLC_Large_Cell,Y,,
li7,liver,Liver:HCC,Y,,
lk2,lung,Lung:NSCLC_Squamous,Y,,
lmsu,stomach,Gastric:Carcinoma,Y,,
ln18,central_nervous_system,CNS:Glioma_HighGrade,Y,,
ln229,central_nervous_system,CNS:Glioma_HighGrade,Y,,
lncapclonefgc,prostate,Prostate:Carcinoma,Y,,
lovo,large_intestine,Colorectal:Carcinoma,Y,,
loximvi,skin,Skin:Melanoma,Y,,
ls180,large_intestine,Colorectal:Carcinoma,Y,,
ls411n,large_intestine,Colorectal:Carcinoma,Y,,
ls513,large_intestine,Colorectal:Carcinoma,Y,,
ludlu1,lung,Lung:NSCLC_Squamous,Y,,
mcf7,breast,Breast:Carcinoma,Y,,
mdamb157,breast,Breast:Carcinoma,Y,,
mdamb231,breast,Breast:Carcinoma,Y,,
mdamb415,breast,Breast:Carcinoma,Y,,
mdamb436,breast,Breast:Carcinoma,Y,,
mdamb453,breast,Breast:Carcinoma,Y,,
mdamb468,breast,Breast:Carcinoma,Y,,
mdst8,large_intestine,Colorectal:Carcinoma,Y,,
me180,cervix,Cervix:Carcinoma,N,ATCC,CVCL_1401
mel285,eye,Eye:Melanoma,N,Schepens Eye Research Institute - Bruce Ksander,CVCL_C303
melho,skin,Skin:Melanoma,Y,,
meljuso,skin,Skin:Melanoma,Y,,
mewo,skin,Skin:Melanoma,Y,,
mfe280,endometrium,Endometrium:Carcinoma,Y,,
mfe296,endometrium,Endometrium:Carcinoma,Y,,
mfe319,endometrium,Endometrium:Carcinoma,Y,,
miapaca2,pancreas,Pancreas:Carcinoma,Y,,
mkn1,stomach,Gastric:Carcinoma,Y,,
mkn45,stomach,Gastric:Carcinoma,Y,,
mkn7,stomach,Gastric:Carcinoma,Y,,
molm13,haematopoietic_and_lymphoid_tissue,Leukemia:AML,Y,,
molm16,haematopoietic_and_lymphoid_tissue,Leukemia:AML,Y,,
monomac1,haematopoietic_and_lymphoid_tissue,Leukemia:AML,Y,,
monomac6,haematopoietic_and_lymphoid_tissue,Leukemia:AML,Y,,
mpp89,pleura,Lung:Mesothelioma,Y,,
nb1,autonomic_ganglia,PNET:Neuroblastoma,Y,,
ncih1048,lung,Lung:SCLC,Y,,
ncih1299,lung,Lung:NSCLC_Others,Y,,
ncih1355,lung,Lung:NSCLC_Adeno,Y,,
ncih1373,lung,Lung:NSCLC_Adeno,Y,,
ncih1435,lung,Lung:NSCLC_Adeno,Y,,
ncih1437,lung,Lung:NSCLC_Adeno,Y,,
ncih1568,lung,Lung:NSCLC_Adeno,Y,,
ncih1573,lung,Lung:NSCLC_Adeno,Y,,
ncih1581,lung,Lung:NSCLC_Large_Cell,Y,,
ncih1693,lung,Lung:NSCLC_Adeno,Y,,
ncih1703,lung,Lung:NSCLC_Squamous,Y,,
ncih1792,lung,Lung:NSCLC_Adeno,Y,,
ncih1793,lung,Lung:NSCLC_Adeno,Y,,
ncih1838,lung,Lung:NSCLC_Adeno,Y,,
ncih1944,lung,Lung:NSCLC_Adeno,Y,,
ncih196,lung,Lung:SCLC,Y,,
ncih1975,lung,Lung:NSCLC_Adeno,Y,,
ncih2009,lung,Lung:NSCLC_Adeno,Y,,
ncih2030,lung,Lung:NSCLC_Adeno,Y,,
ncih2052,pleura,Lung:Mesothelioma,Y,,
ncih2066,lung,Lung:SCLC,Y,,
ncih2110,lung,Lung:NSCLC_Others,Y,,
ncih2122,lung,Lung:NSCLC_Adeno,Y,,
ncih2126,lung,Lung:NSCLC_Adeno,Y,,
ncih2170,lung,Lung:NSCLC_Squamous,Y,,
ncih2172,lung,Lung:NSCLC_Others,Y,,
ncih2228,lung,Lung:NSCLC_Adeno,Y,,
ncih2286,lung,Lung:SCLC,Y,,
ncih2291,lung,Lung:NSCLC_Adeno,Y,,
ncih23,lung,Lung:NSCLC_Adeno,Y,,
ncih28,pleura,Lung:Mesothelioma,Y,,
ncih358,lung,Lung:NSCLC_Adeno,Y,,
ncih441,lung,Lung:NSCLC_Adeno,Y,,
ncih446,lung,Lung:SCLC,Y,,
