"","#wt","#mut","pvalue","p_adj"
"SEMA4C",22,1,0.072119977023693,0.928998302647566
"RAB8B",22,1,0.0727271600708299,0.928998302647566
"PRKAR1A",21,2,0.0727300396628472,0.928998302647566
"RDM1",22,1,0.0736976521940784,0.928998302647566
"UBE2V1",22,1,0.073731309434623,0.928998302647566
"TMEM189-UBE2V1",22,1,0.073731309434623,0.928998302647566
"SUMO2",22,1,0.0740059989240983,0.928998302647566
"LYNX1",22,1,0.074007857891205,0.928998302647566
"MRGPRX3",22,1,0.0746358706031458,0.928998302647566
"RNF43",22,1,0.0747925400440903,0.928998302647566
"FARP1",22,1,0.0755083048171656,0.928998302647566
"PREX1",22,1,0.0759661073585952,0.928998302647566
"FYN",22,1,0.0762890291473133,0.928998302647566
"ANKRD23",22,1,0.0775074146076478,0.928998302647566
"DLG5",22,1,0.0781724174660177,0.928998302647566
"PTTG1",22,1,0.0782592963258355,0.928998302647566
"TERT",22,1,0.0785692301243353,0.928998302647566
"NSUN2",22,1,0.0787253427799806,0.928998302647566
"TBC1D23",22,1,0.0798533710250982,0.928998302647566
"TNF",21,2,0.0800856289463693,0.928998302647566
"MYOD1",22,1,0.080121861444333,0.928998302647566
"TAX1BP1",22,1,0.0803681410567842,0.928998302647566
"USP13",21,2,0.0805106202361907,0.928998302647566
"EIF4EBP3",22,1,0.0810664392487202,0.928998302647566
"ANKHD1-EIF4EBP3",22,1,0.0810664392487202,0.928998302647566
"SPOP",19,4,0.0812037846607413,0.928998302647566
"SLC16A6",21,2,0.0814216999812262,0.928998302647566
"PLXND1",22,1,0.0820634220573147,0.928998302647566
"SART3",22,1,0.0820707643379413,0.928998302647566
"BAI3",22,1,0.0820956502845976,0.928998302647566
"SLC38A10",22,1,0.0821516102987525,0.928998302647566
"PANK3",22,1,0.0825957891387821,0.928998302647566
"NEURL2",22,1,0.0829215750003741,0.928998302647566
"IL18R1",22,1,0.083858947175694,0.928998302647566
"HRASLS",20,3,0.0840122571465352,0.928998302647566
"THOC3",22,1,0.0845156134279711,0.928998302647566
"HNF4A",22,1,0.0846179438390382,0.928998302647566
"RPA3",21,2,0.085309323011384,0.928998302647566
"PTPN1",22,1,0.0854092027398802,0.928998302647566
"RAB20",22,1,0.0859656888877137,0.928998302647566
"ATP11B",21,2,0.0866591494330688,0.928998302647566
"IFT140",22,1,0.0866759807795723,0.928998302647566
"GUCY2C",21,2,0.0875434255591055,0.928998302647566
"CCR7",19,4,0.0876318029945999,0.928998302647566
"LDHB",19,4,0.0882506726047892,0.928998302647566
"FOXP2",22,1,0.0883267301146654,0.928998302647566
"PPP1CC",22,1,0.0883418715168874,0.928998302647566
"RASL12",22,1,0.0886890496116494,0.928998302647566
"SHC3",22,1,0.0886990884853655,0.928998302647566
"ST6GAL1",20,3,0.0893512974905307,0.928998302647566
"ADCY2",22,1,0.0900788868898567,0.928998302647566
"OR51A4",22,1,0.0901222756139487,0.928998302647566
"TSPAN9",21,2,0.0904591705089859,0.928998302647566
"SLC23A2",22,1,0.0913206273856936,0.928998302647566
"PPP1R12A",22,1,0.0913629386707781,0.928998302647566
"BHLHA15",22,1,0.0917601954967259,0.928998302647566
"PRMT8",21,2,0.0922847010422553,0.928998302647566
"STL",22,1,0.0923900681495297,0.928998302647566
"ITK",22,1,0.0926681855903138,0.928998302647566
"NCOA1",22,1,0.0934234581494305,0.928998302647566
"SPTLC3",22,1,0.0936183906122486,0.928998302647566
"TSPAN4",21,2,0.093804484376872,0.928998302647566
"PRMT2",22,1,0.0940207165443467,0.928998302647566
"IRF5",22,1,0.094206755725202,0.928998302647566
"RBFOX1",22,1,0.0946835482084422,0.928998302647566
"GAS6",22,1,0.0956532532826608,0.928998302647566
"MEPCE",22,1,0.0957049677761232,0.928998302647566
"BRIP1",22,1,0.0958662090521506,0.928998302647566
"SLC4A11",22,1,0.0962692963298106,0.928998302647566
"SFRP4",22,1,0.096307180280378,0.928998302647566
"AKAP1",22,1,0.096790475740792,0.928998302647566
"PSCA",22,1,0.0969548526969215,0.928998302647566
"ZNF609",22,1,0.0974865677138916,0.928998302647566
"RAB34",22,1,0.0975231920016971,0.928998302647566
"MMP9",22,1,0.0983288311287979,0.928998302647566
"P2RY14",20,3,0.0984189463059345,0.928998302647566
"HBZ",22,1,0.0990813629159367,0.928998302647566
"GRIN2A",22,1,0.0990978721832803,0.928998302647566
"HOXA7",22,1,0.0998662425396721,0.928998302647566
