"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"SFRP4",13,2,0.0049373446853723,0.0684638156054273,6.45218911432837e-07,"up"
"MED10",14,1,0.00498637628790968,0.0689975323559595,3.81686313080445e-11,"up"
"STK11IP",15,0,0.00505659015097246,0.0698214821479214,0.00461031280079628,"up"
"ALDH6A1",13,2,0.00509254140982574,0.0701698600574936,0.002724157414205,"down"
"IRAK3",15,0,0.00514303883727243,0.0707167840124959,0.274020806235192,"down"
"RAB27B",13,2,0.00521641818299262,0.0715753815674774,0.0598956310423654,"down"
"RB1",14,1,0.00529933032692733,0.0725609142044757,0.00559046064723339,"up"
"GCLM",13,2,0.00538159623527694,0.0735335017951724,1.57548090192074e-06,"up"
"MIDN",13,2,0.00545604037262752,0.0743953838309315,0.0550415524146671,"up"
"PRICKLE1",15,0,0.00551665745012986,0.0750655364056132,0.00348908599105451,"up"
"PRR5L",13,2,0.00555502124058517,0.07543073448056,6.14671018275253e-18,"up"
"STAT3",15,0,0.00556713698302844,0.0754387402772694,0.122280564151736,"up"
"TERF2IP",14,1,0.00558580462619651,0.0755353125587937,0.00889164138848468,"up"
"DDX56",13,2,0.00561515202399809,0.0757756082413763,2.77405528797886e-05,"up"
"GKN1",14,1,0.00563644610865496,0.0759064604550344,0.0360647761071748,"down"
"TTL",15,0,0.0056693003415538,0.0761921370338185,0.00393514792768875,"up"
"PTK2B",14,1,0.00569480869659277,0.0763043985818861,0.0161679881230444,"up"
"GABRA2",15,0,0.00570097034477346,0.0763043985818861,0.033582385502196,"up"
"HTR5A",13,2,0.00571662072434296,0.0763577196751524,0.472409332071642,"down"
"MGP",14,1,0.00577838466968912,0.0770255145888295,0.495948255297994,"down"
"TMLHE",15,0,0.00579690318336486,0.0771153075917134,0.299401277251675,"up"
"KLHL25",15,0,0.00596846313416135,0.0791896368047088,0.665173609646385,"up"
"ARNT2",15,0,0.00597703293835388,0.0791896368047088,0.255606255011548,"up"
"CSNK1G3",15,0,0.00599543272147602,0.0792729437617385,0.0552410841952558,"up"
"RPAP1",13,2,0.00601054019752078,0.0793124709531724,0.228350360974932,"up"
"SERPINI1",11,4,0.00613810818629773,0.0808328331575828,0.0886293099088086,"down"
"TNFRSF18",15,0,0.00615068250989593,0.0808357771631905,6.2795089661995e-14,"up"
"CES5A",13,2,0.00618076297457834,0.0810683239852009,0.222050635094934,"up"
"ACTG1",14,1,0.00621501617389108,0.0813545617162342,0.0251597915823038,"up"
"PPP1R16B",15,0,0.00622770019430179,0.0813578797838427,0.0609653798573999,"down"
"MPZL1",15,0,0.00627226651927383,0.0816265571116922,0.0897067683263485,"up"
"SIRPG",14,1,0.00627320981316748,0.0816265571116922,0.1238693588241,"up"
"RASL11B",14,1,0.0063519806399243,0.0824875263656836,0.162306203094758,"up"
"PAK1IP1",14,1,0.00637214279182455,0.0825121893463523,2.14484508891852e-05,"up"
"CYP4F22",13,2,0.00638459609073076,0.0825121893463523,0.278311876891271,"down"
"SIX4",14,1,0.00639370998089723,0.0825121893463523,8.84230013637983e-05,"up"
"PCK1",13,2,0.00640430743895294,0.0825121893463523,0.166911603399035,"up"
"HOXB6",15,0,0.00644153098824114,0.0828287236110771,0.570845869108115,"up"
"RHEB",14,1,0.00648197613485319,0.0830754248981275,1.89912695025937e-05,"up"
"ARG1",15,0,0.00648610269258108,0.0830754248981275,0.925709000237944,"down"
"STARD3",10,5,0.00655748973438741,0.0838257232647766,0.00317106517526278,"up"
"KANSL3",15,0,0.00676326262974809,0.0861889421607122,0.304606997255313,"up"
"MAEA",14,1,0.00676869614524157,0.0861889421607122,0.759463833170518,"up"
"LOC81691",15,0,0.00686894031979306,0.0871888029342262,NA,NA
"FOLR1",13,2,0.00687386131612845,0.0871888029342262,0.0510278619678213,"down"
"CDK11B",15,0,0.00689939457954192,0.0873433994644137,0.00494688735125799,"up"
"SMARCA4",10,5,0.00691576445435329,0.0873816184435179,0.0138966613982034,"up"
"SGK196",14,1,0.00699157976091617,0.0881693439984515,NA,NA
