"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"PAK1","PAK1",18,0.933882566373189,365,"0.060380717232406",1
"PIP5KL1","PIP5KL1",5,0.933930244199752,378,"0.445109172319436",1
"PBX3","PBX3",2,0.934007879787472,381,"0.852615794869265",1
"DAZAP2","DAZAP2",6,0.934118390621722,377,"0.505962958154588",1
"STK17A","STK17A",28,0.934302995786241,355,"0.771923873606408",1
"SLC2A3","SLC2A3",19,0.934315285786397,364,"0.163659436480859",1
"ACACA","ACACA",9,0.934631190888362,374,"0.105949339878831",1
"ABCC12","ABCC12",8,0.935119923916319,375,"0.732930118235321",1
"SND1","SND1",18,0.935290390941046,365,"0.656886090724196",1
"TERF1","TERF1",20,0.93529921392505,363,"0.504158684689898",1
"DPP10","DPP10",2,0.93530552131907,381,"0.523202073027113",1
"KCTD20","KCTD20",3,0.935399991987999,380,"0.97305890336642",1
"NEK3","NEK3",7,0.935580169719859,376,"0.76079238756486",1
"MED6","MED6",4,0.935630435513036,379,"0.488803430677676",1
"GPR15","GPR15",7,0.935725373942202,376,"0.172415289954046",1
"CCDC101","CCDC101",3,0.936268947961724,380,"0.165221951601745",1
"CYP4F12","CYP4F12",6,0.936322446032818,377,"0.340970216341478",1
"TMEM171","TMEM171",5,0.936465141933142,378,"0.817123227889126",1
"TAL2","TAL2",5,0.93657279811941,378,"0.695732432107506",1
"GINS1","GINS1",12,0.936579373465473,371,"0.845368690601518",1
"MIEN1","MIEN1",21,0.936667651596129,362,"0.977983750506471",1
"KIF23","KIF23",6,0.936892614337978,377,"0.0621387038181981",1
"FIP1L1","FIP1L1",10,0.936905379289206,373,"0.994257471735609",1
"KANSL3","KANSL3",5,0.937383630770624,378,"0.241025235120797",1
"COCH","COCH",11,0.937447046343743,372,"0.262098302576794",1
"FST","FST",4,0.937845744357199,379,"0.174947719960176",1
"PPM1L","PPM1L",23,0.938007351559983,360,"0.449485650719003",1
"PAQR8","PAQR8",7,0.938071854442571,376,"0.218309866935917",1
"UTP15","UTP15",5,0.938518167044415,378,"0.935474027030392",1
"DHRS7B","DHRS7B",12,0.938753873600538,371,"0.11393217852148",1
"MCM4","MCM4",12,0.938759495305725,371,"0.461173138486285",1
"GPR146","GPR146",30,0.938968363651377,353,"0.779832304911",1
"TFG","TFG",8,0.939161025423635,375,"0.422637990669588",1
"IL7R","IL7R",39,0.939176692438904,344,"0.357173596530368",1
"FAS","FAS",1,0.939285148273125,382,"0.566046221583993",1
"FKBP11","FKBP11",5,0.939325742542187,378,"0.986192362062393",1
"NDOR1","NDOR1",6,0.939767624667312,377,"0.920214610557994",1
"ERCC2","ERCC2",5,0.939856949623992,378,"0.506147793876121",1
"RALGAPA1","RALGAPA1",11,0.940230238782157,372,"0.823434661231775",1
"KAT8","KAT8",1,0.940736194486127,382,"0.968361236098249",1
"BRIP1","BRIP1",18,0.940909983661141,365,"0.925066141421308",1
"MYLK2","MYLK2",25,0.940918704475241,358,"0.882891423667782",1
"SMURF2","SMURF2",21,0.941475071447456,362,"0.398485269219792",1
"TTC23","TTC23",15,0.941612680962251,368,"0.750036806858223",1
"PLOD2","PLOD2",15,0.941765210142594,368,"0.537080006408659",1
"TEX2","TEX2",19,0.941788751643117,364,"0.483370345038345",1
"ARHGAP24","ARHGAP24",1,0.941881757285866,382,"0.548659074693523",1
"TLE2","TLE2",1,0.941958128139182,382,"0.318530208174607",1
"RASL10B","RASL10B",5,0.942450383994316,378,"0.627463612498167",1
"CSTF1","CSTF1",40,0.942466373151912,343,"0.197102457874804",1
"KCTD6","KCTD6",1,0.942492724112393,382,"0.485458593679141",1
"DDIT4","DDIT4",3,0.942585984957404,380,"0.183826488775024",1
"GLUD1","GLUD1",2,0.942587789605963,381,"0.911136731570436",1
"TMEM184B","TMEM184B",3,0.942661011422015,380,"0.206746906328042",1
"CYP1A1","CYP1A1",5,0.942679181368623,378,"0.15024451283475",1
"ACAP1","ACAP1",2,0.942742957649865,381,"0.101384995902529",1
"TNNI3K","TNNI3K",12,0.942771444350186,371,"0.994251528440465",1
"FPGT-TNNI3K","FPGT-TNNI3K",12,0.942771444350186,371,"0.994251528440465",1
"CCDC91","CCDC91",19,0.942841553491837,364,"0.360103505884422",1
"GTF2IP1","GTF2IP1",10,0.942997668837899,373,"0.469926316157884",1
"LOC100093631","LOC100093631",10,0.942997668837899,373,"0.469926316157884",1
"DIRAS3","DIRAS3",9,0.943043544790197,374,"0.421780636579407",1
"TYW5","TYW5",3,0.943500560104718,380,"0.73068643021035",1
"ABCB1","ABCB1",28,0.943611934121739,355,"0.131435874927079",1
"RBBP8","RBBP8",8,0.944067317357055,375,"0.680188526092873",1
"DMRTA1","DMRTA1",1,0.944172882885343,382,"0.320827012360217",1
"DUSP11","DUSP11",1,0.944172882885343,382,"0.663963109759726",1
"CBLN3","CBLN3",5,0.944192194749421,378,"0.968298265380092",1
"PTK2","PTK2",43,0.944197794970064,340,"0.672486396947455",1
"NOV","NOV",47,0.944409624740651,336,"0.371433895946853",1
"CEACAM19","CEACAM19",7,0.944857495506288,376,"0.841079376287554",1
"ADAMTS10","ADAMTS10",2,0.94524764657673,381,"0.729352119515687",1
"SSB","SSB",6,0.945250396989072,377,"0.967965770091244",1
"ETV5","ETV5",24,0.945354233843728,359,"0.260866164172936",1
"DAD1","DAD1",6,0.945541003372059,377,"0.308916982138435",1
"MEPCE","MEPCE",22,0.946025794385086,361,"0.122300920600813",1
"MED21","MED21",20,0.946074306262516,363,"0.224651758492933",1
"IVL","IVL",24,0.946250840974347,359,"0.182791700075803",1
"CDK9","CDK9",6,0.946259704346661,377,"0.779395126084782",1
"GUCY2C","GUCY2C",15,0.946541629799635,368,"0.707316283139323",1
"OR6S1","OR6S1",10,0.946567252172607,373,"0.0606263098825771",1
"DOT1L","DOT1L",1,0.947070943509098,382,"0.365536063178229",1
"ITGA9","ITGA9",1,0.947074975311348,382,"0.354926388448308",1
"KPNA6","KPNA6",1,0.947380458724611,382,"0.391604812021979",1
"NUP43","NUP43",6,0.947399064455726,377,"0.33575919171806",1
"GRAP","GRAP",18,0.947485545748139,365,"0.681022623242805",1
"FAM132A","FAM132A",12,0.947524102508264,371,"0.576792452947662",1
"WDR52","WDR52",9,0.948046516664943,374,"0.178763309134051",1
"SH2D7","SH2D7",4,0.948086973729066,379,"0.82314056831356",1
"FAM91A1","FAM91A1",50,0.948152131584235,333,"0.705050173023568",1
"MIB1","MIB1",5,0.948291207927861,378,"0.273524561964718",1
"BAX","BAX",1,0.948449650671034,382,"0.726641396300627",1
"KBTBD10","KBTBD10",5,0.948489489619992,378,"0.939869474405201",1
"NRF1","NRF1",19,0.948766446294213,364,"0.642606920237956",1
"PKP4","PKP4",4,0.948788499848421,379,"0.29947062437773",1
"MAL2","MAL2",46,0.948808703158946,337,"0.942907008965199",1
"PTPN11","PTPN11",4,0.948914436553936,379,"0.300383492836069",1
"PSCA","PSCA",40,0.948962882377116,343,"0.96451932442179",1
"MIXL1","MIXL1",14,0.949276151149321,369,"0.129897216325807",1
"MORF4L1","MORF4L1",5,0.949303096081381,378,"0.721467712024322",1
"DCAF4L2","DCAF4L2",27,0.94934571947276,356,"0.25428287449439",1
"HOXC10","HOXC10",6,0.949699504362354,377,"0.278619736385169",1
"FGFR4","FGFR4",10,0.949793856842289,373,"0.633033744244151",1
"ADAR","ADAR",22,0.949882363582374,361,"0.67747385384327",1
"JAM2","JAM2",3,0.950009488941383,380,"0.0525599233608733",1
"RAB1B","RAB1B",19,0.950045164843357,364,"0.156731799799322",1
"MEN1","MEN1",9,0.950332584418143,374,"0.45952296144164",1
"IRF5","IRF5",17,0.950627609650401,366,"0.379178118581438",1
"KPNA4","KPNA4",22,0.950664204486482,361,"0.679669826049233",1
"SRSF11","SRSF11",8,0.951093187662512,375,"0.714321557460098",1
"SERPINB1","SERPINB1",10,0.951099168641615,373,"0.368971297049579",1
"PREX1","PREX1",27,0.951167911680402,356,"0.115340190705381",1
"TTC27","TTC27",5,0.951168701166712,378,"0.457710730217861",1
"APEX1","APEX1",12,0.951266535825988,371,"0.408157707471622",1
"RNPC3","RNPC3",13,0.951274049554127,370,"0.422609263088673",1
"RIOK1","RIOK1",9,0.951345587776977,374,"0.300181568228939",1
"ELOVL2","ELOVL2",9,0.951473904147964,374,"0.620247161303885",1
"CORO2A","CORO2A",6,0.951722669352533,377,"0.479328225009459",1
"SMARCC2","SMARCC2",5,0.951812602691354,378,"0.0690389028947478",1
"KCNB1","KCNB1",27,0.951856643377784,356,"0.308852510132324",1
"ADRM1","ADRM1",43,0.95192783143035,340,"0.955752553299124",1
"UBE2D4","UBE2D4",26,0.952197544843517,357,"0.457944389938087",1
"DCAF4L1","DCAF4L1",3,0.952433110502903,380,"0.231426318562836",1
"RAB5C","RAB5C",3,0.952449661262824,380,"0.842453752675079",1
"PMEL","PMEL",5,0.952636487500506,378,"0.254774149365082",1
"TFPI","TFPI",10,0.952664686104805,373,"0.180535126681023",1
"ING1","ING1",18,0.952729910639817,365,"0.730550441138859",1
"SGK223","SGK223",6,0.952949112294469,377,"0.339468011298925",1
"SH3BP1","SH3BP1",1,0.952955531016673,382,"0.367542875802537",1
"TBR1","TBR1",5,0.953142983840201,378,"0.761534429024771",1
"ABHD13","ABHD13",22,0.95364573189471,361,"0.896543264528983",1
"TAOK1","TAOK1",3,0.953874928123102,380,"0.696823297937767",1
"ABCF2","ABCF2",19,0.954108348116101,364,"0.137842080202409",1
"FKBP6","FKBP6",9,0.954161338534506,374,"0.293591116689651",1
"GDF15","GDF15",4,0.954163223819669,379,"0.238989010408454",1
"LRP1","LRP1",7,0.954354267059185,376,"0.216326580669995",1
"BHLHE41","BHLHE41",26,0.954372889531806,357,"0.497932297253067",1
"NCOA3","NCOA3",27,0.954384737225823,356,"0.240981632159872",1
"CCR6","CCR6",3,0.95441978873424,380,"0.242454229817895",1
"WDR78","WDR78",9,0.954944662765379,374,"0.171941917069318",1
"OR2G3","OR2G3",21,0.954954950331661,362,"0.659349835241785",1
"FCHO2","FCHO2",6,0.955022850488483,377,"0.968041942233718",1
"GRK1","GRK1",23,0.955355007740521,360,"0.705414791376814",1
"NR2E3","NR2E3",8,0.956344328293419,375,"0.18326034315998",1
"AKAP10","AKAP10",17,0.956386843346571,366,"0.555286194179421",1
"CLEC7A","CLEC7A",11,0.956430103914465,372,"0.584451389314335",1
"PDE6B","PDE6B",5,0.956529559826998,378,"0.614378543444655",1
