"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"JMJD7","JMJD7",7,0.832851915979474,376,"0.866940800799932",1
"CYP21A2","CYP21A2",3,0.832874676837753,380,"0.926063950522048",1
"LDHC","LDHC",7,0.833076682756352,376,"0.321857391902546",1
"ABCA9","ABCA9",28,0.833120613829482,355,"0.674622165943554",1
"USP3","USP3",9,0.83355343074747,374,"0.176991129193205",1
"GRIA2","GRIA2",22,0.833674627378912,361,"0.0750858748317649",1
"GBAS","GBAS",2,0.833766226217717,381,"0.373722369807311",1
"CRIM1","CRIM1",17,0.833777580505786,366,"0.209881245300546",1
"CNGA1","CNGA1",12,0.833869135242444,371,"0.927907842687662",1
"CYP26B1","CYP26B1",18,0.834049981199725,365,"0.645220440703098",1
"AMZ2","AMZ2",9,0.834190305980713,374,"0.0625997698610401",1
"LRRC69","LRRC69",7,0.834539565011168,376,"0.118338545232071",1
"JUNB","JUNB",5,0.834549245912329,378,"0.543002841439182",1
"RAF1","RAF1",6,0.834581361013622,377,"0.962081354041833",1
"DLG1","DLG1",12,0.834631313356894,371,"0.0815673975485239",1
"EIF5A2","EIF5A2",2,0.834865289389166,381,"0.214930899741196",1
"MATN2","MATN2",21,0.835120996178838,362,"0.612776162009591",1
"ITGAE","ITGAE",16,0.835208569179782,367,"0.0919909837726046",1
"OLFML2B","OLFML2B",19,0.836176669739462,364,"0.658544249288391",1
"P2RY8","P2RY8",9,0.836213683354294,374,"0.677640007743448",1
"ADAM12","ADAM12",14,0.836679624216555,369,"0.949835397375684",1
"ATP9B","ATP9B",21,0.836802408794041,362,"0.547952138022039",1
"KCNJ3","KCNJ3",15,0.837044750817628,368,"0.853808400254868",1
"DHRS7B","DHRS7B",6,0.837142808795844,377,"0.147743371346913",1
"MED23","MED23",15,0.837442085844449,368,"0.443609022345621",1
"ERCC6L","ERCC6L",11,0.837582387048524,372,"0.77958332219927",1
"GSTM4","GSTM4",4,0.837971019069799,379,"0.102215089335946",1
"LEFTY1","LEFTY1",4,0.838003432128952,379,"0.294768432034777",1
"LRRIQ4","LRRIQ4",9,0.838130831511205,374,"0.769559675573921",1
"HRASLS","HRASLS",6,0.8384671539719,377,"0.560249336596354",1
"C1orf101","C1orf101",9,0.838670431285039,374,"0.558756612297079",1
"PTGS2","PTGS2",9,0.838907495741311,374,"0.651810801440444",1
"RFXANK","RFXANK",6,0.838942283431826,377,"0.512526620988209",1
"CYP19A1","CYP19A1",8,0.839236614709155,375,"0.485991733868431",1
"UPF2","UPF2",14,0.839349390529776,369,"0.943119975191647",1
"ADRA1B","ADRA1B",14,0.83942906449947,369,"0.47768648403051",1
"TRIM28","TRIM28",20,0.839570660493985,363,"0.520990416186083",1
"HSD11B1","HSD11B1",5,0.8399216289523,378,"0.896696110076027",1
"STRN4","STRN4",8,0.839947622178413,375,"0.850791564536333",1
"KPNA3","KPNA3",10,0.840236051175445,373,"0.0648706840963882",1
"SEMA4D","SEMA4D",16,0.840292867234211,367,"0.252338300676299",1
"HPSE","HPSE",8,0.840629303474283,375,"0.0802132673758605",1
"KCNK13","KCNK13",12,0.840724009040074,371,"0.357465780338746",1
"GRK4","GRK4",3,0.840780283956322,380,"0.781433006028765",1
"CYP27C1","CYP27C1",8,0.840833450853157,375,"0.352445878444755",1
"NGFR","NGFR",9,0.84090298603413,374,"0.961928074331872",1
"MAG","MAG",22,0.840930028572231,361,"0.822594150857715",1
"IL18RAP","IL18RAP",9,0.841137972773253,374,"0.879368334764815",1
"FAM91A1","FAM91A1",12,0.841147089638293,371,"0.822974717952403",1
"NPBWR2","NPBWR2",7,0.841377355760778,376,"0.320072115097865",1
"MAGEA1","MAGEA1",18,0.841416043084336,365,"0.247128194003298",1
"PRICKLE1","PRICKLE1",11,0.841722261737604,372,"0.174506544316311",1
"CTDP1","CTDP1",15,0.841808026760666,368,"0.602016836767995",1
"TFAP2C","TFAP2C",10,0.842297852949432,373,"0.275441223850407",1
"S100A14","S100A14",1,0.842523277121864,382,"0.328881733199464",1
"TAAR1","TAAR1",6,0.842738118579506,377,"0.95386314477873",1
"STK36","STK36",17,0.84278834272782,366,"0.157669129648689",1
"TRIM27","TRIM27",9,0.842988757850314,374,"0.575209660740568",1
"LPL","LPL",7,0.84328605196525,376,"0.917529765691184",1
"RASAL3","RASAL3",23,0.843313869235898,360,"0.630443942413795",1
"KLF1","KLF1",6,0.843594139635408,377,"0.464850368861768",1
"MAS1","MAS1",7,0.843837471413727,376,"0.926806758351787",1
"DSC1","DSC1",13,0.844038132241694,370,"0.850367913617029",1
"CCIN","CCIN",13,0.844085551784718,370,"0.533498578894695",1
"FLCN","FLCN",12,0.844301645740804,371,"0.829277303050105",1
"SYDE2","SYDE2",23,0.845030202226972,360,"0.0949115226734994",1
"GREB1","GREB1",29,0.845220953481227,354,"0.277392377761043",1
"FOS","FOS",5,0.845279662344297,378,"0.660140553725237",1
"RNF112","RNF112",6,0.845425994718933,377,"0.60088818350863",1
"DDRGK1","DDRGK1",9,0.845791524464171,374,"0.95784157755653",1
"ASB12","ASB12",3,0.845933276548306,380,"0.95126673279591",1
